Namespace(image='library', model='ResNet')
Number of params: 158979
Starting optimization with ADAM
Iteration 00000    Loss 0.094727 
Iteration 00001    Loss 0.087366 
Iteration 00002    Loss 0.082383 
Iteration 00003    Loss 0.080762 
Iteration 00004    Loss 0.079989 
Iteration 00005    Loss 0.079509 
Iteration 00006    Loss 0.079079 
Iteration 00007    Loss 0.078725 
Iteration 00008    Loss 0.078435 
Iteration 00009    Loss 0.078146 
Iteration 00010    Loss 0.077899 
Iteration 00011    Loss 0.077676 
Iteration 00012    Loss 0.077425 
Iteration 00013    Loss 0.077164 
Iteration 00014    Loss 0.076907 
Iteration 00015    Loss 0.076640 
Iteration 00016    Loss 0.076357 
Iteration 00017    Loss 0.076057 
Iteration 00018    Loss 0.075757 
Iteration 00019    Loss 0.075464 
Iteration 00020    Loss 0.075151 
Iteration 00021    Loss 0.074819 
Iteration 00022    Loss 0.074479 
Iteration 00023    Loss 0.074130 
Iteration 00024    Loss 0.073776 
Iteration 00025    Loss 0.073419 
Iteration 00026    Loss 0.073058 
Iteration 00027    Loss 0.072696 
Iteration 00028    Loss 0.072348 
Iteration 00029    Loss 0.072001 
Iteration 00030    Loss 0.071673 
Iteration 00031    Loss 0.071419 
Iteration 00032    Loss 0.071309 
Iteration 00033    Loss 0.071152 
Iteration 00034    Loss 0.070965 
Iteration 00035    Loss 0.070800 
Iteration 00036    Loss 0.070458 
Iteration 00037    Loss 0.070140 
Iteration 00038    Loss 0.069773 
Iteration 00039    Loss 0.069610 
Iteration 00040    Loss 0.069591 
Iteration 00041    Loss 0.069383 
Iteration 00042    Loss 0.069331 
Iteration 00043    Loss 0.069155 
Iteration 00044    Loss 0.068904 
Iteration 00045    Loss 0.068640 
Iteration 00046    Loss 0.068790 
Iteration 00047    Loss 0.068354 
Iteration 00048    Loss 0.068166 
Iteration 00049    Loss 0.067995 
Iteration 00050    Loss 0.067594 
Iteration 00051    Loss 0.067663 
Iteration 00052    Loss 0.067490 
Iteration 00053    Loss 0.069529 
Iteration 00054    Loss 0.068223 
Iteration 00055    Loss 0.068661 
Iteration 00056    Loss 0.069167 
Iteration 00057    Loss 0.069186 
Iteration 00058    Loss 0.068742 
Iteration 00059    Loss 0.068154 
Iteration 00060    Loss 0.067639 
Iteration 00061    Loss 0.066960 
Iteration 00062    Loss 0.066583 
Iteration 00063    Loss 0.067608 
Iteration 00064    Loss 0.066272 
Iteration 00065    Loss 0.065225 
Iteration 00066    Loss 0.065400 
Iteration 00067    Loss 0.064107 
Iteration 00068    Loss 0.064738 
Iteration 00069    Loss 0.066392 
Iteration 00070    Loss 0.062891 
Iteration 00071    Loss 0.065494 
Iteration 00072    Loss 0.062425 
Iteration 00073    Loss 0.064250 
Iteration 00074    Loss 0.061804 
Iteration 00075    Loss 0.063016 
Iteration 00076    Loss 0.059857 
Iteration 00077    Loss 0.059059 
Iteration 00078    Loss 0.058591 
Iteration 00079    Loss 0.054815 
Iteration 00080    Loss 0.054939 
Iteration 00081    Loss 0.055643 
Iteration 00082    Loss 0.054729 
Iteration 00083    Loss 0.052211 
Iteration 00084    Loss 0.050675 
Iteration 00085    Loss 0.049790 
Iteration 00086    Loss 0.047589 
Iteration 00087    Loss 0.046712 
Iteration 00088    Loss 0.045024 
Iteration 00089    Loss 0.043564 
Iteration 00090    Loss 0.042319 
Iteration 00091    Loss 0.041395 
Iteration 00092    Loss 0.039650 
Iteration 00093    Loss 0.039928 
Iteration 00094    Loss 0.038038 
Iteration 00095    Loss 0.036649 
Iteration 00096    Loss 0.036105 
Iteration 00097    Loss 0.035715 
Iteration 00098    Loss 0.035732 
Iteration 00099    Loss 0.035464 
Iteration 00100    Loss 0.037078 
Iteration 00101    Loss 0.039606 
Iteration 00102    Loss 0.034931 
Iteration 00103    Loss 0.034846 
Iteration 00104    Loss 0.033469 
Iteration 00105    Loss 0.033425 
Iteration 00106    Loss 0.032776 
Iteration 00107    Loss 0.032156 
Iteration 00108    Loss 0.031498 
Iteration 00109    Loss 0.031251 
Iteration 00110    Loss 0.030858 
Iteration 00111    Loss 0.030501 
Iteration 00112    Loss 0.030185 
Iteration 00113    Loss 0.030441 
Iteration 00114    Loss 0.030994 
Iteration 00115    Loss 0.031811 
Iteration 00116    Loss 0.029129 
Iteration 00117    Loss 0.029597 
Iteration 00118    Loss 0.029150 
Iteration 00119    Loss 0.028343 
Iteration 00120    Loss 0.028573 
Iteration 00121    Loss 0.027960 
Iteration 00122    Loss 0.027698 
Iteration 00123    Loss 0.027390 
Iteration 00124    Loss 0.027230 
Iteration 00125    Loss 0.026706 
Iteration 00126    Loss 0.026895 
Iteration 00127    Loss 0.026277 
Iteration 00128    Loss 0.026193 
Iteration 00129    Loss 0.026292 
Iteration 00130    Loss 0.026235 
Iteration 00131    Loss 0.026859 
Iteration 00132    Loss 0.027291 
Iteration 00133    Loss 0.027710 
Iteration 00134    Loss 0.026450 
Iteration 00135    Loss 0.026378 
Iteration 00136    Loss 0.026415 
Iteration 00137    Loss 0.025545 
Iteration 00138    Loss 0.025645 
Iteration 00139    Loss 0.025530 
Iteration 00140    Loss 0.024933 
Iteration 00141    Loss 0.025084 
Iteration 00142    Loss 0.024643 
Iteration 00143    Loss 0.024465 
Iteration 00144    Loss 0.024398 
Iteration 00145    Loss 0.024263 
Iteration 00146    Loss 0.023997 
Iteration 00147    Loss 0.023886 
Iteration 00148    Loss 0.024090 
Iteration 00149    Loss 0.024199 
