Namespace(image='library', model='UNET')
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
zero
Number of params: 1616315
Starting optimization with ADAM
Iteration 00000    Loss 0.090534 
Iteration 00001    Loss 0.090090 
Iteration 00002    Loss 0.089588 
Iteration 00003    Loss 0.089010 
Iteration 00004    Loss 0.088324 
Iteration 00005    Loss 0.087471 
Iteration 00006    Loss 0.086330 
Iteration 00007    Loss 0.084586 
Iteration 00008    Loss 0.081346 
Iteration 00009    Loss 0.075610 
Iteration 00010    Loss 0.092450 
Iteration 00011    Loss 0.070148 
Iteration 00012    Loss 0.072860 
Iteration 00013    Loss 0.075142 
Iteration 00014    Loss 0.075750 
Iteration 00015    Loss 0.075455 
Iteration 00016    Loss 0.074540 
Iteration 00017    Loss 0.073055 
Iteration 00018    Loss 0.070929 
Iteration 00019    Loss 0.068097 
Iteration 00020    Loss 0.064971 
Iteration 00021    Loss 0.063472 
Iteration 00022    Loss 0.064718 
Iteration 00023    Loss 0.064956 
Iteration 00024    Loss 0.062727 
Iteration 00025    Loss 0.060163 
Iteration 00026    Loss 0.058608 
Iteration 00027    Loss 0.057822 
Iteration 00028    Loss 0.057149 
Iteration 00029    Loss 0.056292 
Iteration 00030    Loss 0.055432 
Iteration 00031    Loss 0.054946 
Iteration 00032    Loss 0.054784 
Iteration 00033    Loss 0.054457 
Iteration 00034    Loss 0.053681 
Iteration 00035    Loss 0.052711 
Iteration 00036    Loss 0.052224 
Iteration 00037    Loss 0.051678 
Iteration 00038    Loss 0.051141 
Iteration 00039    Loss 0.050731 
Iteration 00040    Loss 0.050468 
Iteration 00041    Loss 0.050176 
Iteration 00042    Loss 0.049815 
Iteration 00043    Loss 0.049507 
Iteration 00044    Loss 0.049231 
Iteration 00045    Loss 0.048887 
Iteration 00046    Loss 0.048538 
Iteration 00047    Loss 0.048262 
Iteration 00048    Loss 0.047976 
Iteration 00049    Loss 0.047630 
Iteration 00050    Loss 0.047382 
Iteration 00051    Loss 0.047106 
Iteration 00052    Loss 0.046816 
Iteration 00053    Loss 0.046586 
Iteration 00054    Loss 0.046323 
Iteration 00055    Loss 0.046111 
Iteration 00056    Loss 0.045921 
Iteration 00057    Loss 0.045709 
Iteration 00058    Loss 0.045586 
Iteration 00059    Loss 0.045365 
Iteration 00060    Loss 0.045256 
Iteration 00061    Loss 0.045181 
Iteration 00062    Loss 0.044864 
Iteration 00063    Loss 0.044927 
Iteration 00064    Loss 0.044841 
Iteration 00065    Loss 0.044520 
Iteration 00066    Loss 0.044499 
Iteration 00067    Loss 0.044087 
Iteration 00068    Loss 0.044016 
Iteration 00069    Loss 0.043663 
Iteration 00070    Loss 0.043580 
Iteration 00071    Loss 0.043407 
Iteration 00072    Loss 0.043009 
Iteration 00073    Loss 0.042984 
Iteration 00074    Loss 0.042727 
Iteration 00075    Loss 0.042426 
Iteration 00076    Loss 0.042379 
Iteration 00077    Loss 0.042128 
Iteration 00078    Loss 0.041901 
Iteration 00079    Loss 0.041839 
Iteration 00080    Loss 0.041616 
Iteration 00081    Loss 0.041346 
Iteration 00082    Loss 0.041277 
Iteration 00083    Loss 0.041191 
Iteration 00084    Loss 0.041053 
Iteration 00085    Loss 0.040855 
