Namespace(image='library', model='skip_depth2')
Number of params: 59635
Starting optimization with ADAM
Iteration 00000    Loss 0.087603 
Iteration 00001    Loss 0.083165 
Iteration 00002    Loss 0.081021 
Iteration 00003    Loss 0.077045 
Iteration 00004    Loss 0.071908 
Iteration 00005    Loss 0.067494 
Iteration 00006    Loss 0.062975 
Iteration 00007    Loss 0.059002 
Iteration 00008    Loss 0.055427 
Iteration 00009    Loss 0.056449 
Iteration 00010    Loss 0.048804 
Iteration 00011    Loss 0.049993 
Iteration 00012    Loss 0.046489 
Iteration 00013    Loss 0.044023 
Iteration 00014    Loss 0.041126 
Iteration 00015    Loss 0.039868 
Iteration 00016    Loss 0.037775 
Iteration 00017    Loss 0.035537 
Iteration 00018    Loss 0.034370 
Iteration 00019    Loss 0.032625 
Iteration 00020    Loss 0.031418 
Iteration 00021    Loss 0.029807 
Iteration 00022    Loss 0.029014 
Iteration 00023    Loss 0.027442 
Iteration 00024    Loss 0.026478 
Iteration 00025    Loss 0.025568 
Iteration 00026    Loss 0.024732 
Iteration 00027    Loss 0.023837 
Iteration 00028    Loss 0.023083 
Iteration 00029    Loss 0.022454 
Iteration 00030    Loss 0.021818 
Iteration 00031    Loss 0.021266 
Iteration 00032    Loss 0.020733 
Iteration 00033    Loss 0.020168 
Iteration 00034    Loss 0.019805 
Iteration 00035    Loss 0.019219 
Iteration 00036    Loss 0.018849 
Iteration 00037    Loss 0.018469 
Iteration 00038    Loss 0.018052 
Iteration 00039    Loss 0.017734 
Iteration 00040    Loss 0.017400 
Iteration 00041    Loss 0.017119 
Iteration 00042    Loss 0.016922 
Iteration 00043    Loss 0.017170 
Iteration 00044    Loss 0.018469 
Iteration 00045    Loss 0.018975 
Iteration 00046    Loss 0.016391 
Iteration 00047    Loss 0.017002 
Iteration 00048    Loss 0.016015 
Iteration 00049    Loss 0.016359 
Iteration 00050    Loss 0.015521 
Iteration 00051    Loss 0.015653 
Iteration 00052    Loss 0.015260 
Iteration 00053    Loss 0.015015 
Iteration 00054    Loss 0.014898 
Iteration 00055    Loss 0.014620 
Iteration 00056    Loss 0.014469 
Iteration 00057    Loss 0.014244 
Iteration 00058    Loss 0.014093 
Iteration 00059    Loss 0.013905 
Iteration 00060    Loss 0.013706 
Iteration 00061    Loss 0.013562 
Iteration 00062    Loss 0.013382 
Iteration 00063    Loss 0.013244 
Iteration 00064    Loss 0.013096 
Iteration 00065    Loss 0.012926 
Iteration 00066    Loss 0.012811 
Iteration 00067    Loss 0.012649 
Iteration 00068    Loss 0.012551 
Iteration 00069    Loss 0.012476 
Iteration 00070    Loss 0.012480 
Iteration 00071    Loss 0.012619 
Iteration 00072    Loss 0.012727 
Iteration 00073    Loss 0.012399 
Iteration 00074    Loss 0.011901 
Iteration 00075    Loss 0.012028 
Iteration 00076    Loss 0.012113 
Iteration 00077    Loss 0.011897 
Iteration 00078    Loss 0.012158 
Iteration 00079    Loss 0.012350 
Iteration 00080    Loss 0.011799 
Iteration 00081    Loss 0.011425 
Iteration 00082    Loss 0.011444 
Iteration 00083    Loss 0.011370 
Iteration 00084    Loss 0.011215 
Iteration 00085    Loss 0.011033 
Iteration 00086    Loss 0.010975 
Iteration 00087    Loss 0.010944 
Iteration 00088    Loss 0.010731 
Iteration 00089    Loss 0.010656 
Iteration 00090    Loss 0.010663 
Iteration 00091    Loss 0.010480 
Iteration 00092    Loss 0.010364 
Iteration 00093    Loss 0.010391 
Iteration 00094    Loss 0.010252 
Iteration 00095    Loss 0.010107 
Iteration 00096    Loss 0.010113 
Iteration 00097    Loss 0.010031 
Iteration 00098    Loss 0.009916 
Iteration 00099    Loss 0.009895 
Iteration 00100    Loss 0.009925 
Iteration 00101    Loss 0.010033 
Iteration 00102    Loss 0.010518 
Iteration 00103    Loss 0.011173 
Iteration 00104    Loss 0.010792 
Iteration 00105    Loss 0.009865 
Iteration 00106    Loss 0.010136 
Iteration 00107    Loss 0.009829 
Iteration 00108    Loss 0.009768 
Iteration 00109    Loss 0.009783 
Iteration 00110    Loss 0.009421 
Iteration 00111    Loss 0.009611 
Iteration 00112    Loss 0.009346 
Iteration 00113    Loss 0.009326 
Iteration 00114    Loss 0.009232 
Iteration 00115    Loss 0.009171 
Iteration 00116    Loss 0.009090 
Iteration 00117    Loss 0.009008 
Iteration 00118    Loss 0.008954 
Iteration 00119    Loss 0.008921 
Iteration 00120    Loss 0.008938 
Iteration 00121    Loss 0.008975 
Iteration 00122    Loss 0.009327 
Iteration 00123    Loss 0.009663 
Iteration 00124    Loss 0.009683 
Iteration 00125    Loss 0.008968 
Iteration 00126    Loss 0.008961 
Iteration 00127    Loss 0.009306 
Iteration 00128    Loss 0.008748 
Iteration 00129    Loss 0.008729 
Iteration 00130    Loss 0.008771 
Iteration 00131    Loss 0.008483 
Iteration 00132    Loss 0.008544 
Iteration 00133    Loss 0.008468 
Iteration 00134    Loss 0.008346 
Iteration 00135    Loss 0.008383 
Iteration 00136    Loss 0.008317 
Iteration 00137    Loss 0.008208 
Iteration 00138    Loss 0.008266 
Iteration 00139    Loss 0.008185 
Iteration 00140    Loss 0.008145 
Iteration 00141    Loss 0.008266 
Iteration 00142    Loss 0.008219 
Iteration 00143    Loss 0.008264 
Iteration 00144    Loss 0.008248 
Iteration 00145    Loss 0.008096 
Iteration 00146    Loss 0.008074 
Iteration 00147    Loss 0.008137 
Iteration 00148    Loss 0.008172 
Iteration 00149    Loss 0.008117 
Iteration 00150    Loss 0.007934 
Iteration 00151    Loss 0.007711 
Iteration 00152    Loss 0.007802 
Iteration 00153    Loss 0.007945 
Iteration 00154    Loss 0.007747 
Iteration 00155    Loss 0.007526 
Iteration 00156    Loss 0.007524 
Iteration 00157    Loss 0.007587 
Iteration 00158    Loss 0.007568 
Iteration 00159    Loss 0.007434 
Iteration 00160    Loss 0.007323 
Iteration 00161    Loss 0.007328 
Iteration 00162    Loss 0.007336 
Iteration 00163    Loss 0.007322 
Iteration 00164    Loss 0.007347 
Iteration 00165    Loss 0.007440 
Iteration 00166    Loss 0.007644 
Iteration 00167    Loss 0.008042 
Iteration 00168    Loss 0.008332 
Iteration 00169    Loss 0.008066 
Iteration 00170    Loss 0.007549 
Iteration 00171    Loss 0.007844 
Iteration 00172    Loss 0.007829 
Iteration 00173    Loss 0.007325 
Iteration 00174    Loss 0.007535 
Iteration 00175    Loss 0.007412 
Iteration 00176    Loss 0.007205 
Iteration 00177    Loss 0.007394 
Iteration 00178    Loss 0.007162 
Iteration 00179    Loss 0.007137 
Iteration 00180    Loss 0.007154 
Iteration 00181    Loss 0.006993 
Iteration 00182    Loss 0.007039 
Iteration 00183    Loss 0.006951 
Iteration 00184    Loss 0.006927 
Iteration 00185    Loss 0.006935 
