Namespace(image='vase', model='ce_skip_depth4')
Number of params: 2157955
Starting optimization with ADAM
Iteration 00000    Loss 0.050128 
Iteration 00001    Loss 0.060287 
Iteration 00002    Loss 0.048187 
Iteration 00003    Loss 0.050337 
Iteration 00004    Loss 0.037329 
Iteration 00005    Loss 0.032961 
Iteration 00006    Loss 0.031021 
Iteration 00007    Loss 0.030508 
Iteration 00008    Loss 0.028588 
Iteration 00009    Loss 0.028191 
Iteration 00010    Loss 0.026669 
Iteration 00011    Loss 0.026007 
Iteration 00012    Loss 0.025651 
Iteration 00013    Loss 0.024038 
Iteration 00014    Loss 0.023144 
Iteration 00015    Loss 0.023124 
Iteration 00016    Loss 0.022755 
Iteration 00017    Loss 0.022220 
Iteration 00018    Loss 0.021906 
Iteration 00019    Loss 0.021585 
Iteration 00020    Loss 0.020774 
Iteration 00021    Loss 0.020476 
Iteration 00022    Loss 0.020079 
Iteration 00023    Loss 0.019762 
Iteration 00024    Loss 0.019567 
Iteration 00025    Loss 0.019246 
Iteration 00026    Loss 0.019151 
Iteration 00027    Loss 0.018696 
Iteration 00028    Loss 0.018549 
Iteration 00029    Loss 0.018356 
Iteration 00030    Loss 0.018497 
Iteration 00031    Loss 0.018662 
Iteration 00032    Loss 0.018847 
Iteration 00033    Loss 0.018132 
Iteration 00034    Loss 0.018550 
Iteration 00035    Loss 0.018076 
Iteration 00036    Loss 0.018084 
Iteration 00037    Loss 0.017969 
Iteration 00038    Loss 0.017872 
Iteration 00039    Loss 0.017964 
Iteration 00040    Loss 0.017856 
Iteration 00041    Loss 0.017685 
Iteration 00042    Loss 0.017474 
Iteration 00043    Loss 0.017370 
Iteration 00044    Loss 0.017411 
Iteration 00045    Loss 0.017255 
Iteration 00046    Loss 0.017309 
Iteration 00047    Loss 0.017049 
Iteration 00048    Loss 0.016938 
Iteration 00049    Loss 0.016793 
Iteration 00050    Loss 0.016748 
Iteration 00051    Loss 0.016839 
Iteration 00052    Loss 0.017127 
Iteration 00053    Loss 0.017200 
Iteration 00054    Loss 0.016958 
Iteration 00055    Loss 0.016621 
Iteration 00056    Loss 0.016838 
Iteration 00057    Loss 0.017203 
Iteration 00058    Loss 0.016564 
Iteration 00059    Loss 0.016715 
Iteration 00060    Loss 0.016448 
Iteration 00061    Loss 0.016455 
Iteration 00062    Loss 0.016595 
Iteration 00063    Loss 0.016380 
