Namespace(image='library', model='ce_skip_depth4')
Number of params: 1060339
Starting optimization with ADAM
Iteration 00000    Loss 0.095149 
Iteration 00001    Loss 0.088469 
Iteration 00002    Loss 0.097868 
Iteration 00003    Loss 0.084202 
Iteration 00004    Loss 0.077170 
Iteration 00005    Loss 0.073895 
Iteration 00006    Loss 0.071452 
Iteration 00007    Loss 0.068790 
Iteration 00008    Loss 0.065876 
Iteration 00009    Loss 0.063275 
Iteration 00010    Loss 0.060844 
Iteration 00011    Loss 0.058682 
Iteration 00012    Loss 0.056708 
Iteration 00013    Loss 0.054923 
Iteration 00014    Loss 0.053412 
Iteration 00015    Loss 0.052140 
Iteration 00016    Loss 0.050801 
Iteration 00017    Loss 0.049546 
Iteration 00018    Loss 0.048688 
Iteration 00019    Loss 0.047905 
Iteration 00020    Loss 0.047087 
Iteration 00021    Loss 0.046487 
Iteration 00022    Loss 0.046038 
Iteration 00023    Loss 0.045477 
Iteration 00024    Loss 0.044916 
Iteration 00025    Loss 0.044437 
Iteration 00026    Loss 0.044003 
Iteration 00027    Loss 0.043655 
Iteration 00028    Loss 0.043254 
Iteration 00029    Loss 0.042918 
Iteration 00030    Loss 0.042534 
Iteration 00031    Loss 0.042129 
Iteration 00032    Loss 0.041781 
Iteration 00033    Loss 0.041368 
Iteration 00034    Loss 0.041018 
Iteration 00035    Loss 0.040720 
Iteration 00036    Loss 0.040387 
Iteration 00037    Loss 0.040108 
Iteration 00038    Loss 0.039805 
Iteration 00039    Loss 0.039501 
Iteration 00040    Loss 0.039233 
Iteration 00041    Loss 0.038974 
Iteration 00042    Loss 0.038748 
Iteration 00043    Loss 0.038605 
Iteration 00044    Loss 0.038888 
Iteration 00045    Loss 0.039516 
Iteration 00046    Loss 0.038260 
Iteration 00047    Loss 0.037970 
Iteration 00048    Loss 0.038004 
Iteration 00049    Loss 0.037264 
Iteration 00050    Loss 0.037388 
Iteration 00051    Loss 0.036746 
Iteration 00052    Loss 0.036757 
Iteration 00053    Loss 0.036327 
Iteration 00054    Loss 0.035955 
Iteration 00055    Loss 0.035700 
Iteration 00056    Loss 0.035183 
Iteration 00057    Loss 0.035040 
Iteration 00058    Loss 0.034696 
Iteration 00059    Loss 0.034570 
Iteration 00060    Loss 0.034970 
Iteration 00061    Loss 0.035246 
Iteration 00062    Loss 0.034215 
Iteration 00063    Loss 0.033718 
Iteration 00064    Loss 0.033700 
Iteration 00065    Loss 0.033078 
Iteration 00066    Loss 0.032828 
Iteration 00067    Loss 0.032454 
Iteration 00068    Loss 0.032232 
Iteration 00069    Loss 0.031789 
Iteration 00070    Loss 0.031566 
Iteration 00071    Loss 0.031240 
Iteration 00072    Loss 0.030822 
Iteration 00073    Loss 0.030668 
Iteration 00074    Loss 0.030200 
Iteration 00075    Loss 0.030011 
Iteration 00076    Loss 0.029826 
Iteration 00077    Loss 0.030264 
Iteration 00078    Loss 0.030785 
Iteration 00079    Loss 0.031020 
Iteration 00080    Loss 0.029495 
Iteration 00081    Loss 0.029773 
Iteration 00082    Loss 0.028918 
Iteration 00083    Loss 0.028865 
Iteration 00084    Loss 0.028568 
Iteration 00085    Loss 0.028198 
Iteration 00086    Loss 0.027956 
Iteration 00087    Loss 0.027381 
Iteration 00088    Loss 0.027350 
Iteration 00089    Loss 0.026874 
Iteration 00090    Loss 0.026781 
Iteration 00091    Loss 0.026370 
Iteration 00092    Loss 0.026198 
Iteration 00093    Loss 0.025879 
Iteration 00094    Loss 0.025653 
Iteration 00095    Loss 0.025419 
Iteration 00096    Loss 0.025135 
Iteration 00097    Loss 0.024901 
Iteration 00098    Loss 0.024654 
Iteration 00099    Loss 0.024460 
Iteration 00100    Loss 0.024232 
Iteration 00101    Loss 0.024189 
Iteration 00102    Loss 0.024734 
Iteration 00103    Loss 0.027377 
Iteration 00104    Loss 0.024605 
Iteration 00105    Loss 0.025703 
Iteration 00106    Loss 0.024489 
Iteration 00107    Loss 0.024771 
Iteration 00108    Loss 0.023864 
Iteration 00109    Loss 0.024125 
Iteration 00110    Loss 0.023554 
Iteration 00111    Loss 0.023458 
Iteration 00112    Loss 0.023162 
Iteration 00113    Loss 0.022915 
Iteration 00114    Loss 0.022718 
Iteration 00115    Loss 0.022616 
Iteration 00116    Loss 0.022427 
Iteration 00117    Loss 0.022207 
Iteration 00118    Loss 0.022149 
Iteration 00119    Loss 0.021870 
Iteration 00120    Loss 0.021663 
Iteration 00121    Loss 0.021534 
Iteration 00122    Loss 0.021338 
Iteration 00123    Loss 0.021333 
Iteration 00124    Loss 0.021350 
Iteration 00125    Loss 0.021788 
Iteration 00126    Loss 0.021469 
Iteration 00127    Loss 0.021449 
Iteration 00128    Loss 0.021310 
Iteration 00129    Loss 0.022401 
Iteration 00130    Loss 0.022354 
Iteration 00131    Loss 0.021102 
Iteration 00132    Loss 0.021428 
Iteration 00133    Loss 0.020925 
